customer_id,name,email,plan,segment,status,created_at,country
CUST-0001,Empresa 1,contato1@empresa1.com.br,growth,Mid-Market,active,2022-10-09,BR
CUST-0002,Empresa 2,contato2@empresa2.com.br,starter,SMB,active,2024-01-29,MX
CUST-0003,Empresa 3,contato3@empresa3.com.br,starter,SMB,active,2022-01-31,BR
CUST-0004,Empresa 4,contato4@empresa4.com.br,starter,SMB,active,2023-07-29,BR
CUST-0005,Empresa 5,contato5@empresa5.com.br,growth,Mid-Market,active,2022-08-14,BR
CUST-0006,Empresa 6,contato6@empresa6.com.br,starter,SMB,churned,2024-02-17,US
CUST-0007,Empresa 7,contato7@empresa7.com.br,growth,Mid-Market,active,2022-06-09,BR
CUST-0008,Empresa 8,contato8@empresa8.com.br,growth,Mid-Market,active,2023-01-25,BR
CUST-0009,Empresa 9,contato9@empresa9.com.br,growth,Mid-Market,active,2024-04-06,BR
CUST-0010,Empresa 10,contato10@empresa10.com.br,starter,SMB,active,2023-01-23,BR
CUST-0011,Empresa 11,contato11@empresa11.com.br,starter,SMB,active,2024-06-01,BR
CUST-0012,Empresa 12,contato12@empresa12.com.br,starter,SMB,active,2023-11-09,BR
CUST-0013,Empresa 13,contato13@empresa13.com.br,starter,SMB,active,2022-08-27,MX
CUST-0014,Empresa 14,contato14@empresa14.com.br,starter,SMB,active,2024-05-04,BR
CUST-0015,Empresa 15,contato15@empresa15.com.br,starter,SMB,active,2022-10-01,US
CUST-0016,Empresa 16,contato16@empresa16.com.br,growth,Mid-Market,active,2023-10-13,BR
CUST-0017,Empresa 17,contato17@empresa17.com.br,growth,Mid-Market,active,2023-01-24,BR
CUST-0018,Empresa 18,contato18@empresa18.com.br,enterprise,Enterprise,churned,2022-08-13,BR
CUST-0019,Empresa 19,contato19@empresa19.com.br,growth,Mid-Market,churned,2022-08-23,US
CUST-0020,Empresa 20,contato20@empresa20.com.br,growth,Mid-Market,active,2022-03-09,BR
CUST-0021,Empresa 21,contato21@empresa21.com.br,enterprise,Enterprise,churned,2022-11-19,BR
CUST-0022,Empresa 22,contato22@empresa22.com.br,starter,SMB,churned,2023-10-21,BR
CUST-0023,Empresa 23,contato23@empresa23.com.br,starter,SMB,active,2023-07-29,BR
CUST-0024,Empresa 24,contato24@empresa24.com.br,growth,Mid-Market,active,2023-08-21,BR
CUST-0025,Empresa 25,contato25@empresa25.com.br,starter,SMB,trial,2023-06-06,BR
CUST-0026,Empresa 26,contato26@empresa26.com.br,growth,Mid-Market,churned,2022-06-06,BR
CUST-0027,Empresa 27,contato27@empresa27.com.br,growth,Mid-Market,active,2022-03-07,BR
CUST-0028,Empresa 28,contato28@empresa28.com.br,growth,Mid-Market,active,2022-09-15,
CUST-0029,Empresa 29,contato29@empresa29.com.br,enterprise,Enterprise,active,2024-01-09,BR
CUST-0030,Empresa 30,contato30@empresa30.com.br,enterprise,Enterprise,churned,2024-02-27,BR
CUST-0031,Empresa 31,contato31@empresa31.com.br,starter,SMB,active,2023-04-10,BR
CUST-0032,Empresa 32,contato32@empresa32.com.br,growth,Mid-Market,churned,2023-05-28,US
CUST-0033,Empresa 33,contato33@empresa33.com.br,growth,Mid-Market,active,2023-10-03,BR
CUST-0034,Empresa 34,contato34@empresa34.com.br,growth,Mid-Market,active,2022-06-06,BR
CUST-0035,Empresa 35,contato35@empresa35.com.br,starter,SMB,trial,2023-06-28,MX
CUST-0036,Empresa 36,contato36@empresa36.com.br,growth,Mid-Market,active,2022-04-25,MX
CUST-0037,Empresa 37,contato37@empresa37.com.br,enterprise,Enterprise,churned,2022-11-11,BR
CUST-0038,Empresa 38,contato38@empresa38.com.br,starter,SMB,active,2022-03-22,BR
CUST-0039,Empresa 39,contato39@empresa39.com.br,starter,SMB,active,2024-02-18,BR
CUST-0040,Empresa 40,contato40@empresa40.com.br,starter,SMB,churned,2023-07-17,BR
CUST-0041,Empresa 41,contato41@empresa41.com.br,growth,Mid-Market,active,2022-08-05,MX
CUST-0042,Empresa 42,contato42@empresa42.com.br,growth,Mid-Market,churned,2024-01-01,BR
CUST-0043,Empresa 43,contato43@empresa43.com.br,enterprise,Enterprise,active,2023-03-25,MX
CUST-0044,Empresa 44,contato44@empresa44.com.br,starter,SMB,active,2022-03-07,BR
CUST-0045,Empresa 45,contato45@empresa45.com.br,growth,Mid-Market,active,2022-08-14,BR
CUST-0046,Empresa 46,contato46@empresa46.com.br,growth,Mid-Market,active,2022-03-11,MX
CUST-0047,Empresa 47,contato47@empresa47.com.br,enterprise,Enterprise,active,2022-09-01,BR
CUST-0048,Empresa 48,contato48@empresa48.com.br,starter,SMB,active,2024-01-11,MX
CUST-0049,Empresa 49,contato49@empresa49.com.br,growth,Mid-Market,active,2024-03-14,BR
CUST-0050,Empresa 50,contato50@empresa50.com.br,starter,SMB,active,2023-11-06,BR
CUST-0051,Empresa 51,contato51@empresa51.com.br,starter,SMB,active,2024-01-17,BR
CUST-0052,Empresa 52,contato52@empresa52.com.br,growth,Mid-Market,active,2022-03-04,BR
CUST-0053,Empresa 53,contato53@empresa53.com.br,starter,SMB,churned,2022-09-12,BR
CUST-0054,Empresa 54,contato54@empresa54.com.br,growth,Mid-Market,active,2022-07-07,BR
CUST-0055,Empresa 55,contato55@empresa55.com.br,starter,SMB,trial,2023-03-30,US
CUST-0056,Empresa 56,contato56@empresa56.com.br,enterprise,Enterprise,active,2023-10-30,
CUST-0057,Empresa 57,contato57@empresa57.com.br,growth,Mid-Market,trial,2024-02-11,US
CUST-0058,Empresa 58,contato58@empresa58.com.br,starter,SMB,active,2022-08-07,MX
CUST-0059,Empresa 59,contato59@empresa59.com.br,enterprise,Enterprise,active,2022-01-03,
CUST-0060,Empresa 60,contato60@empresa60.com.br,starter,SMB,churned,2023-04-11,BR
CUST-0061,Empresa 61,contato61@empresa61.com.br,growth,Mid-Market,churned,2024-03-13,BR
CUST-0062,Empresa 62,contato62@empresa62.com.br,growth,Mid-Market,active,2022-10-31,BR
CUST-0063,Empresa 63,contato63@empresa63.com.br,starter,SMB,churned,2022-03-04,US
CUST-0064,Empresa 64,contato64@empresa64.com.br,starter,SMB,active,2023-05-30,MX
CUST-0065,Empresa 65,contato65@empresa65.com.br,growth,Mid-Market,active,2023-06-05,BR
CUST-0066,Empresa 66,contato66@empresa66.com.br,starter,SMB,active,2023-11-23,MX
CUST-0067,Empresa 67,contato67@empresa67.com.br,starter,SMB,trial,2023-08-07,BR
CUST-0068,Empresa 68,contato68@empresa68.com.br,growth,Mid-Market,active,2023-03-06,BR
CUST-0069,Empresa 69,contato69@empresa69.com.br,growth,Mid-Market,active,2022-09-25,BR
CUST-0070,Empresa 70,contato70@empresa70.com.br,growth,Mid-Market,active,2023-02-10,BR
CUST-0071,Empresa 71,contato71@empresa71.com.br,growth,Mid-Market,active,2024-02-09,MX
CUST-0072,Empresa 72,contato72@empresa72.com.br,starter,SMB,active,2023-07-31,
CUST-0073,Empresa 73,contato73@empresa73.com.br,starter,SMB,active,2022-09-29,BR
CUST-0074,Empresa 74,contato74@empresa74.com.br,starter,SMB,active,2022-09-08,BR
CUST-0075,Empresa 75,contato75@empresa75.com.br,starter,SMB,churned,2023-12-22,BR
CUST-0076,Empresa 76,contato76@empresa76.com.br,enterprise,Enterprise,churned,2023-06-26,BR
CUST-0077,Empresa 77,contato77@empresa77.com.br,growth,Mid-Market,active,2023-11-11,BR
CUST-0078,Empresa 78,contato78@empresa78.com.br,enterprise,Enterprise,active,2022-04-20,US
CUST-0079,Empresa 79,contato79@empresa79.com.br,starter,SMB,active,2022-08-04,US
CUST-0080,Empresa 80,contato80@empresa80.com.br,starter,SMB,active,2022-09-28,BR
CUST-0081,Empresa 81,contato81@empresa81.com.br,starter,SMB,trial,2022-02-22,BR
CUST-0082,Empresa 82,contato82@empresa82.com.br,starter,SMB,active,2022-01-04,BR
CUST-0083,Empresa 83,contato83@empresa83.com.br,starter,SMB,trial,2022-06-15,US
CUST-0084,Empresa 84,contato84@empresa84.com.br,growth,Mid-Market,active,2022-01-10,BR
CUST-0085,Empresa 85,contato85@empresa85.com.br,enterprise,Enterprise,churned,2022-06-02,BR
CUST-0086,Empresa 86,contato86@empresa86.com.br,growth,Mid-Market,active,2022-06-01,BR
CUST-0087,Empresa 87,contato87@empresa87.com.br,starter,SMB,active,2024-03-26,
CUST-0088,Empresa 88,contato88@empresa88.com.br,starter,SMB,active,2023-11-30,BR
CUST-0089,Empresa 89,contato89@empresa89.com.br,starter,SMB,churned,2023-02-21,
CUST-0090,Empresa 90,contato90@empresa90.com.br,growth,Mid-Market,trial,2022-08-31,MX
CUST-0091,Empresa 91,contato91@empresa91.com.br,enterprise,Enterprise,churned,2023-02-27,BR
CUST-0092,Empresa 92,contato92@empresa92.com.br,growth,Mid-Market,active,2023-02-26,US
CUST-0093,Empresa 93,contato93@empresa93.com.br,enterprise,Enterprise,churned,2022-10-01,BR
CUST-0094,Empresa 94,contato94@empresa94.com.br,growth,Mid-Market,active,2022-02-09,MX
CUST-0095,Empresa 95,contato95@empresa95.com.br,starter,SMB,churned,2023-04-17,BR
CUST-0096,Empresa 96,contato96@empresa96.com.br,growth,Mid-Market,churned,2022-08-17,BR
CUST-0097,Empresa 97,contato97@empresa97.com.br,starter,SMB,active,2022-03-13,
CUST-0098,Empresa 98,contato98@empresa98.com.br,starter,SMB,active,2023-02-14,BR
CUST-0099,Empresa 99,contato99@empresa99.com.br,growth,Mid-Market,active,2022-01-29,BR
CUST-0100,Empresa 100,contato100@empresa100.com.br,enterprise,Enterprise,active,2022-09-29,BR
CUST-0101,Empresa 101,contato101@empresa101.com.br,growth,Mid-Market,active,2024-03-16,BR
CUST-0102,Empresa 102,contato102@empresa102.com.br,growth,Mid-Market,active,2023-01-30,MX
CUST-0103,Empresa 103,contato103@empresa103.com.br,starter,SMB,active,2023-03-23,BR
CUST-0104,Empresa 104,contato104@empresa104.com.br,enterprise,Enterprise,active,2024-01-07,MX
CUST-0105,Empresa 105,contato105@empresa105.com.br,growth,Mid-Market,active,2023-03-18,BR
CUST-0106,Empresa 106,contato106@empresa106.com.br,growth,Mid-Market,active,2022-11-18,BR
CUST-0107,Empresa 107,contato107@empresa107.com.br,starter,SMB,trial,2023-06-04,BR
CUST-0108,Empresa 108,contato108@empresa108.com.br,starter,SMB,active,2022-10-30,BR
CUST-0109,Empresa 109,contato109@empresa109.com.br,starter,SMB,churned,2023-01-24,BR
CUST-0110,Empresa 110,contato110@empresa110.com.br,enterprise,Enterprise,active,2022-11-05,BR
CUST-0111,Empresa 111,contato111@empresa111.com.br,growth,Mid-Market,active,2022-08-04,BR
CUST-0112,Empresa 112,contato112@empresa112.com.br,growth,Mid-Market,churned,2023-04-22,BR
CUST-0113,Empresa 113,contato113@empresa113.com.br,growth,Mid-Market,active,2024-03-23,MX
CUST-0114,Empresa 114,contato114@empresa114.com.br,growth,Mid-Market,active,2022-03-28,BR
CUST-0115,Empresa 115,contato115@empresa115.com.br,growth,Mid-Market,active,2022-04-06,US
CUST-0116,Empresa 116,contato116@empresa116.com.br,growth,Mid-Market,churned,2022-08-19,US
CUST-0117,Empresa 117,contato117@empresa117.com.br,starter,SMB,active,2023-05-02,BR
CUST-0118,Empresa 118,contato118@empresa118.com.br,growth,Mid-Market,active,2023-10-07,BR
CUST-0119,Empresa 119,contato119@empresa119.com.br,growth,Mid-Market,active,2023-02-14,BR
CUST-0120,Empresa 120,contato120@empresa120.com.br,growth,Mid-Market,active,2024-02-08,MX
CUST-0121,Empresa 121,contato121@empresa121.com.br,enterprise,Enterprise,churned,2022-08-13,BR
CUST-0122,Empresa 122,contato122@empresa122.com.br,enterprise,Enterprise,active,2022-02-21,BR
CUST-0123,Empresa 123,contato123@empresa123.com.br,enterprise,Enterprise,active,2022-05-17,US
CUST-0124,Empresa 124,contato124@empresa124.com.br,growth,Mid-Market,trial,2023-09-02,BR
CUST-0125,Empresa 125,contato125@empresa125.com.br,growth,Mid-Market,active,2024-04-14,US
CUST-0126,Empresa 126,contato126@empresa126.com.br,growth,Mid-Market,churned,2023-07-16,BR
CUST-0127,Empresa 127,contato127@empresa127.com.br,starter,SMB,churned,2023-04-06,BR
CUST-0128,Empresa 128,contato128@empresa128.com.br,starter,SMB,active,2024-02-24,US
CUST-0129,Empresa 129,contato129@empresa129.com.br,starter,SMB,active,2023-03-27,BR
CUST-0130,Empresa 130,contato130@empresa130.com.br,starter,SMB,active,2022-11-24,MX
CUST-0131,Empresa 131,contato131@empresa131.com.br,starter,SMB,active,2023-01-28,BR
CUST-0132,Empresa 132,contato132@empresa132.com.br,growth,Mid-Market,active,2023-02-22,BR
CUST-0133,Empresa 133,contato133@empresa133.com.br,starter,SMB,active,2024-05-02,BR
CUST-0134,Empresa 134,contato134@empresa134.com.br,enterprise,Enterprise,active,2023-12-14,BR
CUST-0135,Empresa 135,contato135@empresa135.com.br,enterprise,Enterprise,active,2023-05-04,BR
CUST-0136,Empresa 136,contato136@empresa136.com.br,starter,SMB,churned,2024-05-23,MX
CUST-0137,Empresa 137,contato137@empresa137.com.br,growth,Mid-Market,active,2024-01-23,BR
CUST-0138,Empresa 138,contato138@empresa138.com.br,growth,Mid-Market,active,2022-08-13,BR
CUST-0139,Empresa 139,contato139@empresa139.com.br,starter,SMB,active,2023-11-16,BR
CUST-0140,Empresa 140,contato140@empresa140.com.br,starter,SMB,active,2023-04-24,MX
CUST-0141,Empresa 141,contato141@empresa141.com.br,enterprise,Enterprise,active,2023-02-08,BR
CUST-0142,Empresa 142,contato142@empresa142.com.br,growth,Mid-Market,active,2023-03-15,BR
CUST-0143,Empresa 143,contato143@empresa143.com.br,starter,SMB,active,2023-01-24,BR
CUST-0144,Empresa 144,contato144@empresa144.com.br,starter,SMB,active,2023-01-24,BR
CUST-0145,Empresa 145,contato145@empresa145.com.br,enterprise,Enterprise,active,2024-05-04,BR
CUST-0146,Empresa 146,contato146@empresa146.com.br,starter,SMB,active,2022-12-25,BR
CUST-0147,Empresa 147,contato147@empresa147.com.br,starter,SMB,trial,2022-02-11,US
CUST-0148,Empresa 148,contato148@empresa148.com.br,enterprise,Enterprise,active,2022-01-21,BR
CUST-0149,Empresa 149,contato149@empresa149.com.br,starter,SMB,active,2022-04-28,BR
CUST-0150,Empresa 150,contato150@empresa150.com.br,starter,SMB,churned,2024-02-25,BR
CUST-0151,Empresa 151,contato151@empresa151.com.br,growth,Mid-Market,trial,2024-01-06,BR
CUST-0152,Empresa 152,contato152@empresa152.com.br,growth,Mid-Market,trial,2022-04-21,BR
CUST-0153,Empresa 153,contato153@empresa153.com.br,enterprise,Enterprise,active,2023-01-20,BR
CUST-0154,Empresa 154,contato154@empresa154.com.br,growth,Mid-Market,active,2023-12-09,US
CUST-0155,Empresa 155,contato155@empresa155.com.br,starter,SMB,churned,2022-11-05,MX
CUST-0156,Empresa 156,contato156@empresa156.com.br,growth,Mid-Market,active,2023-08-03,US
CUST-0157,Empresa 157,contato157@empresa157.com.br,starter,SMB,active,2023-01-15,BR
CUST-0158,Empresa 158,contato158@empresa158.com.br,growth,Mid-Market,active,2023-03-07,US
CUST-0159,Empresa 159,contato159@empresa159.com.br,starter,SMB,trial,2023-10-13,MX
CUST-0160,Empresa 160,contato160@empresa160.com.br,starter,SMB,active,2022-06-30,US
CUST-0161,Empresa 161,contato161@empresa161.com.br,enterprise,Enterprise,active,2024-04-07,MX
CUST-0162,Empresa 162,contato162@empresa162.com.br,growth,Mid-Market,active,2024-04-25,US
CUST-0163,Empresa 163,contato163@empresa163.com.br,starter,SMB,churned,2024-04-30,MX
CUST-0164,Empresa 164,contato164@empresa164.com.br,starter,SMB,active,2024-02-08,BR
CUST-0165,Empresa 165,contato165@empresa165.com.br,growth,Mid-Market,active,2022-01-30,BR
CUST-0166,Empresa 166,contato166@empresa166.com.br,starter,SMB,active,2022-12-30,US
CUST-0167,Empresa 167,contato167@empresa167.com.br,starter,SMB,churned,2023-12-20,MX
CUST-0168,Empresa 168,contato168@empresa168.com.br,growth,Mid-Market,active,2022-07-15,BR
CUST-0169,Empresa 169,contato169@empresa169.com.br,growth,Mid-Market,active,2024-02-16,BR
CUST-0170,Empresa 170,contato170@empresa170.com.br,starter,SMB,churned,2023-04-04,US
CUST-0171,Empresa 171,contato171@empresa171.com.br,starter,SMB,active,2023-12-10,BR
CUST-0172,Empresa 172,contato172@empresa172.com.br,growth,Mid-Market,active,2023-07-21,BR
CUST-0173,Empresa 173,contato173@empresa173.com.br,starter,SMB,churned,2022-12-05,BR
CUST-0174,Empresa 174,contato174@empresa174.com.br,starter,SMB,active,2022-08-25,BR
CUST-0175,Empresa 175,contato175@empresa175.com.br,starter,SMB,active,2023-07-03,
CUST-0176,Empresa 176,contato176@empresa176.com.br,growth,Mid-Market,active,2024-01-27,BR
CUST-0177,Empresa 177,contato177@empresa177.com.br,growth,Mid-Market,trial,2023-06-22,BR
CUST-0178,Empresa 178,contato178@empresa178.com.br,enterprise,Enterprise,churned,2022-10-31,BR
CUST-0179,Empresa 179,contato179@empresa179.com.br,starter,SMB,active,2023-07-01,BR
CUST-0180,Empresa 180,contato180@empresa180.com.br,starter,SMB,active,2022-10-27,BR
CUST-0181,Empresa 181,contato181@empresa181.com.br,starter,SMB,churned,2023-05-18,BR
CUST-0182,Empresa 182,contato182@empresa182.com.br,starter,SMB,active,2023-05-06,BR
CUST-0183,Empresa 183,contato183@empresa183.com.br,starter,SMB,active,2024-06-01,BR
CUST-0184,Empresa 184,contato184@empresa184.com.br,growth,Mid-Market,active,2022-03-17,BR
CUST-0185,Empresa 185,contato185@empresa185.com.br,growth,Mid-Market,active,2024-04-10,BR
