feedback_id,customer_id,type,channel,sentiment,message,created_at,nps_score,resolved
FB-00001,CUST-0055,praise,nps,positive,Suporte muito rápido,2023-11-17,,False
FB-00002,CUST-0157,bug,suporte,negative,Integração com API retorna timeout,2024-02-07,,True
FB-00003,CUST-0074,praise,formulario,positive,Plataforma excelente!,2024-10-31,,False
FB-00004,CUST_0178,complaint,nps,negative,Tempo de resposta do suporte muito alto,2024-01-10,,False
FB-00005,CUST-0178,bug,nps,negative,Integração com API retorna timeout,2024-05-31,,True
FB-00006,CUST-0126,feature_request,suporte,neutral,Gostaríamos de exportar em PDF,2023-12-14,,False
FB-00007,CUST_0126,praise,email,positive,Melhorou muito nos últimos meses,2023-02-16,,
FB-00008,CUST-0126,support,suporte,neutral,Como faço para adicionar usuários?,2023-05-24,,
FB-00009,CUST-0052,praise,nps,positive,Suporte muito rápido,2024-06-03,,True
FB-00010,CUST-0052,feature_request,plataforma,neutral,Seria ótimo ter alertas por email,2024-11-20,,
FB-00011,CUST-0032,praise,nps,positive,Plataforma excelente!,2024-11-02,,
FB-00012,CUST-0035,praise,suporte,positive,Plataforma excelente!,2024-09-26,,
FB-00013,CUST-0019,bug,suporte,negative,Erro 500 ao acessar dashboard,2023-11-18,,
FB-00014,CUST-0116,support,nps,neutral,Como faço para adicionar usuários?,2023-03-05,,False
FB-00015,CUST-0116,praise,nps,positive,Suporte muito rápido,2023-11-18,,
FB-00016,CUST-0116,complaint,nps,negative,Interface confusa,2024-11-28,3,False
FB-00017,CUST-0045,feature_request,email,neutral,Falta integração com Slack,2023-11-01,,
FB-00018,CUST-0183,complaint,nps,negative,Interface confusa,2023-10-08,,False
FB-00019,CUST-0183,complaint,formulario,negative,Interface confusa,2023-05-30,,
FB-00020,CUST-0183,feature_request,plataforma,neutral,Seria ótimo ter alertas por email,2024-05-05,,True
FB-00021,CUST-0114,complaint,nps,negative,Tempo de resposta do suporte muito alto,2023-09-03,,True
FB-00022,CUST-0023,feature_request,formulario,neutral,Seria ótimo ter alertas por email,2024-04-28,,True
FB-00023,CUST-0175,support,plataforma,neutral,Como faço para adicionar usuários?,2024-05-02,0,True
FB-00024,CUST-0082,feature_request,suporte,neutral,Gostaríamos de exportar em PDF,2023-02-08,,False
FB-00025,,bug,nps,negative,Integração com API retorna timeout,2023-10-24,5,False
FB-00026,CUST-0171,praise,suporte,positive,Melhorou muito nos últimos meses,2024-10-18,,True
FB-00027,CUST-0089,feature_request,formulario,neutral,Seria ótimo ter alertas por email,2024-04-14,,False
FB-00028,CUST-0089,praise,email,positive,Suporte muito rápido,2023-07-17,,True
FB-00029,CUST-0182,bug,formulario,negative,Erro 500 ao acessar dashboard,2023-05-24,,False
FB-00030,CUST-0017,support,plataforma,neutral,Preciso de nota fiscal,2023-11-06,,True
FB-00031,CUST-0017,bug,nps,negative,Integração com API retorna timeout,2023-05-02,,
FB-00032,CUST-0141,support,suporte,neutral,Como faço para adicionar usuários?,2023-10-30,9,False
FB-00033,CUST-0139,praise,suporte,positive,Plataforma excelente!,2024-04-27,,
FB-00034,CUST-0075,bug,nps,negative,Sistema travando ao exportar relatórios,2024-04-02,8,
FB-00035,CUST-0075,feature_request,nps,neutral,Falta integração com Slack,2024-07-03,3,
FB-00036,CUST-0077,bug,suporte,negative,Integração com API retorna timeout,2024-06-06,,
FB-00037,CUST-0041,praise,formulario,positive,Melhorou muito nos últimos meses,2023-11-12,1,True
FB-00038,CUST-0164,complaint,formulario,negative,Interface confusa,2024-07-08,6,True
FB-00039,CUST-0190,complaint,email,negative,Interface confusa,2024-10-23,,False
FB-00040,CUST-0190,feature_request,suporte,neutral,Seria ótimo ter alertas por email,2024-11-30,,True
FB-00041,CUST-0093,praise,formulario,positive,Plataforma excelente!,2024-06-25,,False
FB-00042,CUST-0131,praise,email,positive,Suporte muito rápido,2024-06-28,3,
FB-00043,CUST-0058,bug,formulario,negative,Sistema travando ao exportar relatórios,2024-11-07,1,
FB-00044,CUST-0058,bug,suporte,negative,Integração com API retorna timeout,2024-09-04,7,True
FB-00045,CUST-0194,complaint,suporte,negative,Preço alto para o que entrega,2023-02-27,,
FB-00046,CUST-0195,complaint,nps,negative,Tempo de resposta do suporte muito alto,2023-11-25,,False
FB-00047,CUST-0036,support,email,neutral,Não consigo resetar minha senha,2023-06-29,,
FB-00048,CUST-0061,complaint,plataforma,negative,Interface confusa,2023-11-23,8,False
FB-00049,CUST-0127,feature_request,formulario,neutral,Seria ótimo ter alertas por email,2024-12-25,,False
FB-00050,CUST-0007,bug,formulario,negative,Erro 500 ao acessar dashboard,2023-09-06,,True
FB-00051,CUST-0173,complaint,nps,negative,Tempo de resposta do suporte muito alto,2023-02-22,,True
FB-00052,CUST-0142,praise,plataforma,positive,Suporte muito rápido,2024-11-18,,True
FB-00053,CUST-0142,feature_request,email,neutral,Gostaríamos de exportar em PDF,2023-07-14,,
FB-00054,CUST-0147,support,email,neutral,Preciso de nota fiscal,2024-07-19,,False
FB-00055,CUST-0095,praise,email,positive,Suporte muito rápido,2024-05-24,,False
FB-00056,,bug,nps,negative,Integração com API retorna timeout,2023-08-15,,False
FB-00057,CUST-0163,bug,email,negative,Integração com API retorna timeout,2023-08-24,,
FB-00058,CUST-0034,complaint,email,negative,Interface confusa,2024-05-15,5,True
FB-00059,CUST-0199,praise,formulario,positive,Melhorou muito nos últimos meses,2023-07-08,1,
FB-00060,CUST-0187,bug,suporte,negative,Sistema travando ao exportar relatórios,2023-05-21,7,False
FB-00061,CUST-0181,complaint,formulario,negative,Tempo de resposta do suporte muito alto,2024-09-23,,False
